onset	duration	sample	trial_type	response_time	value	runlist	trial
2	0	2	Cue_SmallPun	0	0	1	1
4	0	4	Anticipation_SmallPun	0	0	1	1
6	0	6	Probe_SmallPun	0	0	1	1
6	0	6	Feedback_SmallPun	0	0	1	1
8	0	8	Cue_LgReward	0.245	1	1	2
10	0	10	Anticipation_LgReward	0.245	1	1	2
14	0	14	Probe_LgReward	0.245	1	1	2
14	0	14	Feedback_LgReward	0.245	1	1	2
16	0	16	Cue_SmallPun	0.223	1	1	3
18	0	18	Anticipation_SmallPun	0.223	1	1	3
21	0	21	Probe_SmallPun	0.223	1	1	3
21	0	21	Feedback_SmallPun	0.223	1	1	3
23	0	23	Cue_SmallReward	0.273	1	1	4
25	0	25	Anticipation_SmallReward	0.273	1	1	4
27	0	27	Probe_SmallReward	0.273	1	1	4
27	0	27	Feedback_SmallReward	0.273	1	1	4
29	0	29	Cue_LgPun	0.236	1	1	5
31	0	31	Anticipation_LgPun	0.236	1	1	5
33	0	33	Probe_LgPun	0.236	1	1	5
33	0	33	Feedback_LgPun	0.236	1	1	5
35	0	35	Cue_Triangle	0.274	1	1	6
37	0	37	Anticipation_Triangle	0.274	1	1	6
39	0	39	Probe_Triangle	0.274	1	1	6
40	0	40	Feedback_Triangle	0.274	1	1	6
41	0	41	Cue_SmallReward	0.232	1	1	7
43	0	43	Anticipation_SmallReward	0.232	1	1	7
46	0	46	Probe_SmallReward	0.232	1	1	7
46	0	46	Feedback_SmallReward	0.232	1	1	7
48	0	48	Cue_SmallReward	0.295	1	1	8
50	0	50	Anticipation_SmallReward	0.295	1	1	8
51	0	51	Probe_SmallReward	0.295	1	1	8
52	0	52	Feedback_SmallReward	0.295	1	1	8
53	0	53	Cue_LgReward	0.22	1	1	9
55	0	55	Anticipation_LgReward	0.22	1	1	9
57	0	57	Probe_LgReward	0.22	1	1	9
57	0	57	Feedback_LgReward	0.22	1	1	9
59	0	59	Cue_SmallPun	0.286	1	1	10
61	0	61	Anticipation_SmallPun	0.286	1	1	10
63	0	63	Probe_SmallPun	0.286	1	1	10
63	0	63	Feedback_SmallPun	0.286	1	1	10
65	0	65	Cue_LgReward	0	0	1	11
67	0	67	Anticipation_LgReward	0	0	1	11
69	0	69	Probe_LgReward	0	0	1	11
70	0	70	Feedback_LgReward	0	0	1	11
71	0	71	Cue_LgPun	0.251	1	1	12
73	0	73	Anticipation_LgPun	0.251	1	1	12
77	0	77	Probe_LgPun	0.251	1	1	12
77	0	77	Feedback_LgPun	0.251	1	1	12
79	0	79	Cue_SmallPun	0	0	1	13
81	0	81	Anticipation_SmallPun	0	0	1	13
84	0	84	Probe_SmallPun	0	0	1	13
85	0	85	Feedback_SmallPun	0	0	1	13
86	0	86	Cue_Triangle	0	0	1	14
88	0	88	Anticipation_Triangle	0	0	1	14
90	0	90	Probe_Triangle	0	0	1	14
90	0	90	Feedback_Triangle	0	0	1	14
92	0	92	Cue_LgPun	0	0	1	15
94	0	94	Anticipation_LgPun	0	0	1	15
98	0	98	Probe_LgPun	0	0	1	15
98	0	98	Feedback_LgPun	0	0	1	15
100	0	100	Cue_Triangle	0	0	1	16
102	0	102	Anticipation_Triangle	0	0	1	16
106	0	106	Probe_Triangle	0	0	1	16
106	0	106	Feedback_Triangle	0	0	1	16
108	0	108	Cue_LgPun	0	0	1	17
110	0	110	Anticipation_LgPun	0	0	1	17
113	0	113	Probe_LgPun	0	0	1	17
113	0	113	Feedback_LgPun	0	0	1	17
115	0	115	Cue_SmallPun	0	0	1	18
117	0	117	Anticipation_SmallPun	0	0	1	18
118	0	118	Probe_SmallPun	0	0	1	18
119	0	119	Feedback_SmallPun	0	0	1	18
120	0	120	Cue_LgReward	0.249	1	1	19
122	0	122	Anticipation_LgReward	0.249	1	1	19
124	0	124	Probe_LgReward	0.249	1	1	19
125	0	125	Feedback_LgReward	0.249	1	1	19
126	0	126	Cue_SmallPun	0	0	1	20
128	0	128	Anticipation_SmallPun	0	0	1	20
132	0	132	Probe_SmallPun	0	0	1	20
133	0	133	Feedback_SmallPun	0	0	1	20
134	0	134	Cue_SmallReward	0	0	1	21
136	0	136	Anticipation_SmallReward	0	0	1	21
138	0	138	Probe_SmallReward	0	0	1	21
138	0	138	Feedback_SmallReward	0	0	1	21
140	0	140	Cue_LgPun	0	0	1	22
142	0	142	Anticipation_LgPun	0	0	1	22
143	0	143	Probe_LgPun	0	0	1	22
144	0	144	Feedback_LgPun	0	0	1	22
145	0	145	Cue_LgReward	0	0	1	23
147	0	147	Anticipation_LgReward	0	0	1	23
151	0	151	Probe_LgReward	0	0	1	23
151	0	151	Feedback_LgReward	0	0	1	23
153	0	153	Cue_SmallReward	0	0	1	24
155	0	155	Anticipation_SmallReward	0	0	1	24
159	0	159	Probe_SmallReward	0	0	1	24
159	0	159	Feedback_SmallReward	0	0	1	24
161	0	161	Cue_Triangle	0	0	1	25
163	0	163	Anticipation_Triangle	0	0	1	25
165	0	165	Probe_Triangle	0	0	1	25
165	0	165	Feedback_Triangle	0	0	1	25
