onset	duration	sample	trial_type	response_time	value	runlist	trial
2	0	2	Cue_SmallPun	0	0	1	1
4	0	4	Anticipation_SmallPun	0	0	1	1
6	0	6	Probe_SmallPun	0	0	1	1
6	0	6	Feedback_SmallPun	0	0	1	1
8	0	8	Cue_LgReward	0.308	1	1	2
10	0	10	Anticipation_LgReward	0.308	1	1	2
14	0	14	Probe_LgReward	0.308	1	1	2
14	0	14	Feedback_LgReward	0.308	1	1	2
16	0	16	Cue_SmallPun	0.308	1	1	3
18	0	18	Anticipation_SmallPun	0.308	1	1	3
21	0	21	Probe_SmallPun	0.308	1	1	3
21	0	21	Feedback_SmallPun	0.308	1	1	3
23	0	23	Cue_SmallReward	0.288	1	1	4
25	0	25	Anticipation_SmallReward	0.288	1	1	4
27	0	27	Probe_SmallReward	0.288	1	1	4
27	0	27	Feedback_SmallReward	0.288	1	1	4
29	0	29	Cue_LgPun	0.288	1	1	5
31	0	31	Anticipation_LgPun	0.288	1	1	5
33	0	33	Probe_LgPun	0.288	1	1	5
33	0	33	Feedback_LgPun	0.288	1	1	5
35	0	35	Cue_Triangle	0.288	1	1	6
37	0	37	Anticipation_Triangle	0.288	1	1	6
39	0	39	Probe_Triangle	0.288	1	1	6
40	0	40	Feedback_Triangle	0.288	1	1	6
41	0	41	Cue_SmallReward	0.255	1	1	7
43	0	43	Anticipation_SmallReward	0.255	1	1	7
46	0	46	Probe_SmallReward	0.255	1	1	7
46	0	46	Feedback_SmallReward	0.255	1	1	7
48	0	48	Cue_SmallReward	0	0	1	8
50	0	50	Anticipation_SmallReward	0	0	1	8
51	0	51	Probe_SmallReward	0	0	1	8
52	0	52	Feedback_SmallReward	0	0	1	8
